                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3913,                0.78517,                0.90738,                0.89719,                0.92271,                0.96464,                0.54111,                 1.4829,                0.67818,                0.94531,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4408,                0.84692,                 0.9277,                0.91813,                0.93237,                0.96504,                0.54334,                 1.5022,                0.65419,                0.94326,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.455,                0.83278,                  0.934,                 0.8966,                0.92161,                0.94499,                0.51977,                 1.5165,                0.68255,                0.95174,               0.001109,               0.001109,               0.001109
                     47,                 1.4287,                0.84285,                0.92091,                0.89073,                0.91787,                0.94436,                0.51989,                 1.5362,                0.69383,                0.95138,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.516,                0.93985,                0.95608,                 0.8996,                0.93237,                0.95979,                0.55172,                 1.4439,                0.67667,                0.93216,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4566,                0.82856,                0.92871,                0.89052,                0.94203,                0.94044,                0.52621,                 1.5201,                0.69213,                0.94922,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.4237,                0.82257,                0.91794,                0.88499,                0.92933,                 0.9516,                0.54998,                 1.4365,                0.68561,                 0.9372,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.4072,                0.83158,                0.91184,                0.92977,                0.89538,                 0.9645,                0.54467,                 1.4697,                0.70865,                0.93638,                0.00101,                0.00101,                0.00101
                     52,                 1.3904,                0.81061,                0.91157,                0.92964,                0.91304,                0.96834,                0.55985,                 1.4624,                0.64992,                0.93514,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4203,                0.82191,                0.90324,                 0.8794,                0.95116,                0.96263,                0.54732,                 1.4871,                0.65917,                0.94221,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3699,                0.79287,                0.91528,                0.89808,                0.94686,                0.96138,                0.55241,                 1.4848,                0.64141,                0.94227,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4004,                0.80609,                0.90852,                0.91233,                0.90495,                0.95978,                0.53906,                 1.4709,                0.66593,                0.93935,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3811,                0.82035,                0.92394,                0.87271,                0.95652,                0.96826,                0.54553,                 1.4949,                0.65101,                0.94719,               0.000911,               0.000911,               0.000911
                     57,                 1.3632,                0.78792,                0.90362,                0.91462,                0.93153,                0.97142,                0.55911,                 1.4403,                0.65434,                0.93337,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3516,                0.79673,                0.89467,                0.94289,                0.91787,                0.97243,                0.55876,                 1.4062,                0.62092,                0.92993,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3583,                0.77194,                0.90405,                0.90487,                0.91898,                0.96483,                0.57158,                  1.386,                0.63973,                0.92667,              0.0008516,              0.0008516,              0.0008516
